subject_id,course_id,plan_type_id,semester_id,thai_subject,eng_subject,credits,compulsory_subject,condition,description_id,clo_id
SU101,BSCS65,1,11,ศิลปะศิลปากร,Silpakorn Arts,3(3-0-6),,,SU101,
SU201,BSCS65,1,11,ภาษาอังกฤษในยุคดิจิทัล,English in the Digital Era,3(2-2-5),,นักศึกษาที่มีผลการทดสอบภาษาอังกฤษแรกเข้า ตั้งแต่ระดับ B1 ขึ้นไป หรือมีผลการทดสอบ ภาษาอังกฤษจากสถาบันทดสอบภาษาอื่นที่เทียบเท่า ตั้งแต่ระดับ B1 ขึ้นไป ตามประกาศของ มหาวิทยาลัย ได้รับการยกเว้นไม่ต้องลงทะเบียนเรียนรายวิชา SU201,SU201,
SU301,BSCS65,1,11,พลเมืองตื่นรู้,Active Citizen,3(3-0-6),,,SU301,
511100,BSCS65,1,11,ความรู้พื้นฐานสำหรับแคลคูลัส,Precalculus,3*(3-0-6),,วิชานี้วัดผลการศึกษาเป็น S หรือ U,511100,511100
511108,BSCS65,1,11,แคลคูลัสสำหรับนักวิทยาศาสตร์คณนา 1,Calculus for Computational Scientists I,3(3-0-6),* 511 100 ความรู้พื้นฐานสำหรับแคลคูลัส  * อาจเรียนพร้อมกันได้,,511108,511108
517101,BSCS65,1,11,ความรอบรู้และความเป็นพลเมืองดิจิทัล,Digital Literacy and Citizenship,3(2-2-5),,,517101,517101
517121,BSCS65,1,11,ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 1,Computer Programming Skill I,4(2-4-6),,,517121,517121
SU102,BSCS65,1,12,ศิลปากรสร้างสรรค์,Creative Silpakorn,3(3-0-6),,,SU102,
SU202,BSCS65,1,12,ภาษาอังกฤษเพื่อการสื่อสารนานาชาติ,English for International Communication,3(2-2-5),SU201 ภาษาอังกฤษในยุคดิจิทัล,นักศึกษาที่มีผลการทดสอบภาษาอังกฤษแรกเข้า ตั้งแต่ระดับ B2 ขึ้นไป หรือมีผลการทดสอบ ภาษาอังกฤษจากสถาบันทดสอบภาษาอื่นที่เทียบเท่าตั้งแต่ระดับ B2 ขึ้นไป ตามประกาศของ มหาวิทยาลัย ได้รับการยกเว้นไม่ต้องลงทะเบียนเรียนรายวิชา SU202,SU202,
SU203,BSCS65,1,12,ทักษะการสื่อสารอย่างสร้างสรรค์,Creative Communication Skills,3(3-0-6),,,SU203,
